,S1,S2,thresh_u,thresh_d,平仓次数,日内交易次数,初始资金,日末资金,收益率,日期
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,2191477468.1279984,2191128855.6279984,-0.0001590764701303593,2017-11-21
2,600104.SH,600000.SH,1.1,1.0,5.0,14.0,-3686503504.850628,-1023027086.8809464,-0.7224939334697857,2017-11-21
3,600519.SH,600309.SH,2.5937424601000023,1.0,25.0,67.0,-52220164523.838585,-153688951124.19656,1.943095881171292,2017-11-21
4,600048.SH,601390.SH,1.0,1.771561000000001,15.0,39.0,3523742305.6324496,3464774869.3079333,-0.016734321414554332,2017-11-21
5,601006.SH,600048.SH,1.0,1.1,1.0,3.0,27255531.549731757,-326217874.5236016,-12.968868555301103,2017-11-21
6,601398.SH,603993.SH,1.0,1.1,1.0,3.0,626218757.0083824,279406116.75727135,-0.553820268667661,2017-11-21
7,601088.SH,600104.SH,1.0,2.5937424601000023,13.0,30.0,-2065887900.849889,-4878313420.944481,1.361364050265062,2017-11-21
8,601328.SH,600048.SH,1.0,1.1,1.0,2.0,642189941.9367057,34608660.791467614,-0.946108373035094,2017-11-21
9,601766.SH,600048.SH,1.0,3.797498335832415,68.0,191.0,2493040678.1034303,3197748816.0688963,0.28267013216229175,2017-11-21
10,601818.SH,600048.SH,1.0,1.1,19.0,57.0,2769941.4538453305,-163995871.47472638,-60.20553708709674,2017-11-21
11,601211.SH,600048.SH,1.1,1.0,2.0,5.0,-31679652.781593323,1531392213.2718828,-49.33993048565419,2017-11-21
12,601988.SH,600048.SH,1.0,1.1,1.0,2.0,412149319.7090591,41324104.21858293,-0.8997351148177217,2017-11-21
13,601390.SH,600048.SH,1.0,1.0,1.0,3.0,4129699.7628191006,1840841.620720638,-0.5542432316038383,2017-11-21
14,600309.SH,600519.SH,1.0,1.0,0.0,46.0,-10376935599.620466,-15069420762.98575,0.4522033618033545,2017-11-21
15,603993.SH,601398.SH,1.0,1.1,1.0,2.0,828378928.0792919,-206492917.62229538,-1.2492735034932347,2017-11-21
0,600000.SH,600104.SH,1.0,3.1384283767210035,21.0,52.0,2503454106.687799,3350444348.1528997,0.3383286472887308,2017-11-22
1,600030.SH,600048.SH,1.0,2.357947691000002,18.0,46.0,2191477468.1279984,2956457848.7411776,0.349070611830949,2017-11-22
2,600104.SH,600000.SH,3.797498335832415,1.0,32.0,83.0,-3719966315.297346,-6599453365.311529,0.7740626677647802,2017-11-22
3,600519.SH,600309.SH,1.0,2.853116706110003,16.0,36.0,-153671248289.19656,-142972122165.67255,-0.0696234737638699,2017-11-22
4,600048.SH,601390.SH,1.0,3.1384283767210035,48.0,133.0,3464774869.3079333,4447247356.816592,0.2835602671364623,2017-11-22
5,601006.SH,600048.SH,1.0,1.1,2.0,6.0,501389342.0063984,294421347.5788885,-0.41278897871919407,2017-11-22
6,601398.SH,603993.SH,1.0,1.0,0.0,0.0,1146958850.5172713,1146958850.5172713,0.0,2017-11-22
7,601088.SH,600104.SH,1.0,1.0,0.0,40.0,-4878313420.944481,-5776877730.822853,0.1841956906705684,2017-11-22
8,601328.SH,600048.SH,1.0,2.1435888100000016,62.0,179.0,642054672.1914676,1229995186.117919,0.9157172113080132,2017-11-22
9,601766.SH,600048.SH,1.0,1.1,2.0,5.0,3197748816.0688963,158727506.25987172,-0.9503627347269255,2017-11-22
10,601818.SH,600048.SH,1.0,1.0,0.0,0.0,246431387.6952736,246431387.6952736,0.0,2017-11-22
11,601211.SH,600048.SH,1.1,1.0,2.0,6.0,-35333110.99041723,206727397.99391085,-6.850812232468798,2017-11-22
12,601988.SH,600048.SH,1.0,1.771561000000001,109.0,323.0,411395053.39858294,1252282191.409772,2.043989423461759,2017-11-22
13,601390.SH,600048.SH,1.0,1.0,1.0,3.0,1840841.620720638,-17093.000009555835,-1.0092854267402236,2017-11-22
14,600309.SH,600519.SH,2.853116706110003,1.0,20.0,50.0,-15068092384.017496,-15909215338.320795,0.05582146252271891,2017-11-22
15,603993.SH,601398.SH,1.0,1.0,0.0,0.0,828080306.7177047,828080306.7177047,0.0,2017-11-22
0,600000.SH,600104.SH,1.0,1.1,1.0,2.0,3350444348.1528997,3343276244.1928997,-0.002139448746239281,2017-11-23
1,600030.SH,600048.SH,1.0,2.853116706110003,15.0,34.0,2956457848.7411776,2880123455.3520837,-0.02581954395919972,2017-11-23
2,600104.SH,600000.SH,1.0,1.0,0.0,0.0,-6599453365.311529,-6600579952.613116,0.00017070918441652871,2017-11-23
3,600519.SH,600309.SH,2.853116706110003,1.0,20.0,49.0,-142972122165.67255,-144961121641.18024,0.013911799345070142,2017-11-23
4,600048.SH,601390.SH,1.0,1.0,0.0,59.0,4447247356.816592,6440197584.507279,0.44813118493082227,2017-11-23
5,601006.SH,600048.SH,1.0,2.853116706110003,20.0,50.0,1358763971.1488883,2405166803.1704693,0.7701137609181721,2017-11-23
6,601398.SH,603993.SH,1.0,3.797498335832415,26.0,65.0,1146958850.5172713,2007585353.6915433,0.7503551699227351,2017-11-23
7,601088.SH,600104.SH,1.0,1.0,0.0,0.0,-5776085143.521266,-5776898274.473647,0.00014077544429769162,2017-11-23
8,601328.SH,600048.SH,1.0,1.4641000000000006,11.0,29.0,1229995186.117919,795218876.7743565,-0.35347805767906537,2017-11-23
9,601766.SH,600048.SH,1.0,2.853116706110003,15.0,35.0,3203643887.3898716,6282249351.765404,0.9609699369188587,2017-11-23
10,601818.SH,600048.SH,1.0,1.0,0.0,0.0,246431387.6952736,246431387.6952736,0.0,2017-11-23
11,601211.SH,600048.SH,2.357947691000002,1.0,12.0,29.0,-1633846946.1135893,-4929508272.559087,2.0171175361834504,2017-11-23
12,601988.SH,600048.SH,1.0,1.0,1.0,2.0,1252415725.1399307,766050067.0144783,-0.38834202442732135,2017-11-23
13,601390.SH,600048.SH,1.1,1.0,13.0,38.0,-17093.000009555835,493421073.83032364,-28867.85038053453,2017-11-23
14,600309.SH,600519.SH,1.0,1.0,0.0,31.0,-15909215338.320795,-16076312402.120539,0.0105031618622482,2017-11-23
15,603993.SH,601398.SH,1.0,2.357947691000002,18.0,46.0,828080306.7177047,1835364773.0768895,1.216409155232539,2017-11-23
0,600000.SH,600104.SH,1.0,3.1384283767210035,67.0,189.0,3343276244.1928997,4242322628.817976,0.2689117856134904,2017-11-24
1,600030.SH,600048.SH,1.0,2.357947691000002,9.0,19.0,2880123455.3520837,1869652916.4455745,-0.35084278662734725,2017-11-24
2,600104.SH,600000.SH,1.0,3.797498335832415,97.0,278.0,-6599453365.311529,-10062577080.687288,0.5247591768098328,2017-11-24
3,600519.SH,600309.SH,2.853116706110003,1.0,26.0,67.0,-144961121641.18024,-146944282939.78134,0.013680642617473593,2017-11-24
4,600048.SH,601390.SH,1.0,1.0,0.0,35.0,6440197584.507279,6553635824.478077,0.017614093120945196,2017-11-24
5,601006.SH,600048.SH,1.0,3.4522712143931042,77.0,220.0,2405166803.1704693,3405590805.0246124,0.41594786712314225,2017-11-24
6,601398.SH,603993.SH,1.0,3.4522712143931042,46.0,126.0,2007585353.6915433,2611085013.208873,0.30060971425579264,2017-11-24
7,601088.SH,600104.SH,1.0,1.0,0.0,39.0,-5776085143.521266,-6239896630.071521,0.08029858892756936,2017-11-24
8,601328.SH,600048.SH,1.0,2.853116706110003,105.0,305.0,1216149804.6343563,1591857460.893821,0.30893205329455586,2017-11-24
9,601766.SH,600048.SH,1.0,2.1435888100000016,23.0,61.0,6282249351.765404,6264943384.570629,-0.0027547405755091736,2017-11-24
10,601818.SH,600048.SH,1.0,2.5937424601000023,212.0,626.0,246431387.6952736,604582076.4945124,1.4533485046235768,2017-11-24
11,601211.SH,600048.SH,1.1,1.0,5.0,13.0,-4929288760.336864,-2837117405.6059113,-0.4244367608498504,2017-11-24
12,601988.SH,600048.SH,1.0,1.1,1.0,2.0,766050067.0144783,378736660.2263831,-0.5055980326423952,2017-11-24
13,601390.SH,600048.SH,1.1,1.0,3.0,9.0,-25787751.323976364,67491407.18982977,-3.6171885381521847,2017-11-24
14,600309.SH,600519.SH,1.0,1.0,0.0,20.0,-16075051949.739586,-16757725664.488228,0.04246790099858444,2017-11-24
15,603993.SH,601398.SH,1.0,2.853116706110003,20.0,51.0,1835364773.0768895,3284674305.7521257,0.7896574860405257,2017-11-24
0,600000.SH,600104.SH,1.0,3.797498335832415,45.0,121.0,4242322628.817976,4035464937.3692904,-0.04876048088457663,2017-11-27
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,3744347093.555575,3744335353.8531938,-3.135313604185619e-06,2017-11-27
2,600104.SH,600000.SH,1.0,1.0,0.0,66.0,-10062577080.687288,-10202316277.906744,0.0138870188122735,2017-11-27
3,600519.SH,600309.SH,1.0,1.0,1.0,3.0,-146944282939.78134,-146980490483.44498,0.0002464032144651185,2017-11-27
4,600048.SH,601390.SH,1.0,1.0,0.0,0.0,6553635824.478077,6553350761.442363,-4.349692954397355e-05,2017-11-27
5,601006.SH,600048.SH,1.0,1.0,0.0,0.0,3405888356.611914,3405592130.4214377,-8.697472126506511e-05,2017-11-27
6,601398.SH,603993.SH,1.0,1.0,0.0,0.0,2611285479.478714,2611087001.304111,-7.600784217687284e-05,2017-11-27
7,601088.SH,600104.SH,2.853116706110003,1.0,23.0,59.0,-6239896630.071521,-6598818866.544312,0.05752054204601098,2017-11-27
8,601328.SH,600048.SH,1.0,1.0,0.0,1.0,1591857460.893821,1726430120.3506145,0.08453813407466249,2017-11-27
9,601766.SH,600048.SH,1.0,1.0,0.0,47.0,6264943384.570629,6085598241.985429,-0.028626777861535557,2017-11-27
10,601818.SH,600048.SH,1.0,1.0,1.0,2.0,604582076.4945124,258864238.6098648,-0.571829452651307,2017-11-27
11,601211.SH,600048.SH,1.0,1.0,0.0,0.0,-3597454769.5091114,-3598127739.7472067,0.000187068436217519,2017-11-27
12,601988.SH,600048.SH,1.0,1.0,0.0,0.0,765320641.7563831,765316685.4468592,-5.169479702971103e-06,2017-11-27
13,601390.SH,600048.SH,1.0,1.0,0.0,0.0,-518879040.4354702,-519166982.89578766,0.0005549317622770555,2017-11-27
14,600309.SH,600519.SH,1.0,1.0,0.0,1.0,-16756679760.718386,-16164343166.352512,-0.035349281768483176,2017-11-27
15,603993.SH,601398.SH,1.0,1.0,0.0,0.0,3284887363.291808,3284670329.5616493,-6.60703720267719e-05,2017-11-27
0,600000.SH,600104.SH,1.0,1.1,5.0,13.0,4035899004.829608,2310324378.0421867,-0.4275564439849687,2017-11-28
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,3744347093.555575,3744335214.6865273,-3.172480742552608e-06,2017-11-28
2,600104.SH,600000.SH,2.853116706110003,1.0,64.0,182.0,-10202316277.906744,-10553048980.311321,0.034377752350619906,2017-11-28
3,600519.SH,600309.SH,3.1384283767210035,1.0,18.0,42.0,-146980490483.44498,-148806383929.67923,0.01242269256435713,2017-11-28
4,600048.SH,601390.SH,1.0,3.1384283767210035,17.0,40.0,6553635824.478077,6847589020.924693,0.0448534530021778,2017-11-28
5,601006.SH,600048.SH,1.0,1.1,2.0,4.0,3405888356.611914,2036624122.8970883,-0.40202851366418035,2017-11-28
6,601398.SH,603993.SH,1.0,1.1,2.0,4.0,2611285479.478714,1369374938.0892918,-0.4755935538834086,2017-11-28
7,601088.SH,600104.SH,1.0,1.0,0.0,57.0,-6598818866.544312,-6355441495.314414,-0.036881959658539576,2017-11-28
8,601328.SH,600048.SH,1.0,1.1,2.0,6.0,1726639201.699821,1048464324.1278907,-0.3927716206745966,2017-11-28
9,601766.SH,600048.SH,1.0,2.5937424601000023,16.0,40.0,6085941576.092571,7360675984.521211,0.20945557766051914,2017-11-28
10,601818.SH,600048.SH,1.0,1.1,2.0,5.0,258864238.6098648,-75037679.13484947,-1.289872712962639,2017-11-28
11,601211.SH,600048.SH,3.4522712143931042,1.0,55.0,153.0,-3597454769.5091114,-4497480415.839987,0.25018400619215786,2017-11-28
12,601988.SH,600048.SH,1.0,3.4522712143931042,285.0,843.0,765320641.7563831,1063166223.9133476,0.38917751058356376,2017-11-28
13,601390.SH,600048.SH,1.1,1.0,10.0,30.0,-518879040.4354702,-253211078.01217917,-0.5120036496373581,2017-11-28
14,600309.SH,600519.SH,2.853116706110003,1.0,20.0,50.0,-16164343166.352512,-15700353735.84056,-0.028704502604088855,2017-11-28
15,603993.SH,601398.SH,1.0,1.1,2.0,4.0,3284887363.291808,161078668.81438735,-0.9509637162557169,2017-11-28
0,600000.SH,600104.SH,1.0,3.1384283767210035,31.0,82.0,3453258608.4521866,4540667618.499415,0.31489359278963036,2017-11-29
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,3744347093.555575,3744335363.79367,-3.1326588084690243e-06,2017-11-29
2,600104.SH,600000.SH,2.853116706110003,1.0,49.0,137.0,-10553048980.311321,-12223769042.328577,0.15831633731012662,2017-11-29
3,600519.SH,600309.SH,2.357947691000002,1.0,21.0,55.0,-148806383929.67923,-186281140777.73422,0.2518356797498975,2017-11-29
4,600048.SH,601390.SH,3.797498335832415,1.0,21.0,50.0,6847589020.924693,8017946464.3517885,0.17091525788868833,2017-11-29
5,601006.SH,600048.SH,1.0,3.797498335832415,136.0,395.0,2796371094.137088,3486187596.488987,0.24668274672062607,2017-11-29
6,601398.SH,603993.SH,1.0,4.177248169415656,89.0,253.0,1989265787.739292,2581655620.3261766,0.2977932040243392,2017-11-29
7,601088.SH,600104.SH,1.1,1.0,1.0,3.0,-6354685025.076319,-4112896145.378446,-0.35277734000214256,2017-11-29
8,601328.SH,600048.SH,1.0,2.5937424601000023,116.0,339.0,1588138039.0478907,2098263008.4291592,0.3212094646930661,2017-11-29
9,601766.SH,600048.SH,1.0,2.5937424601000023,13.0,29.0,7361052065.870417,7224689651.278742,-0.01852485397079584,2017-11-29
10,601818.SH,600048.SH,1.0,2.853116706110003,75.0,216.0,257012612.38515052,990908164.0703889,2.855484580598897,2017-11-29
11,601211.SH,600048.SH,1.6105100000000008,1.0,14.0,38.0,-4497480415.839987,-6364165278.671672,0.4150512487519187,2017-11-29
12,601988.SH,600048.SH,1.0,1.1,1.0,2.0,1063166223.9133476,671009541.5133476,-0.368857356055324,2017-11-29
13,601390.SH,600048.SH,2.853116706110003,1.0,29.0,77.0,-1125784926.999479,-2039201123.5118861,0.8113594120920662,2017-11-29
14,600309.SH,600519.SH,1.1,1.0,3.0,8.0,-15700353735.84056,-6105833514.799292,-0.611102168936425,2017-11-29
15,603993.SH,601398.SH,1.0,2.1435888100000016,39.0,110.0,2370029841.9643874,4647659635.158091,0.9610131285544916,2017-11-29
0,600000.SH,600104.SH,1.0,3.1384283767210035,53.0,148.0,4540667618.499415,5762739642.918959,0.26913928239112317,2017-11-30
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,3744347093.555575,3744334508.912718,-3.3609712301041483e-06,2017-11-30
2,600104.SH,600000.SH,2.5937424601000023,1.0,44.0,121.0,-12223196272.090483,-11053019743.765215,-0.09573408642689962,2017-11-30
3,600519.SH,600309.SH,1.0,1.0,0.0,0.0,-186281140777.73422,-186281140777.73422,0.0,2017-11-30
4,600048.SH,601390.SH,1.0,1.0,0.0,0.0,8017946464.3517885,8017515710.383534,-5.37237271625024e-05,2017-11-30
5,601006.SH,600048.SH,1.0,1.0,0.0,0.0,3486187596.488987,3486187596.488987,0.0,2017-11-30
6,601398.SH,603993.SH,1.0,1.0,0.0,0.0,2581655620.3261766,2581655620.3261766,0.0,2017-11-30
7,601088.SH,600104.SH,2.5937424601000023,1.0,17.0,43.0,-6771755371.839447,-11570648776.662125,0.7086631370027074,2017-11-30
8,601328.SH,600048.SH,1.0,1.3310000000000004,10.0,27.0,2098263008.4291592,1359065619.5857568,-0.35229014945881076,2017-11-30
9,601766.SH,600048.SH,1.0,2.5937424601000023,19.0,46.0,7225064738.580329,6101012623.226901,-0.15557675343048838,2017-11-30
10,601818.SH,600048.SH,1.0,1.0,1.0,2.0,991045011.2926111,576908164.0703889,-0.4178789484869786,2017-11-30
11,601211.SH,600048.SH,4.177248169415656,1.0,37.0,96.0,-6364165278.671672,-6463842860.8956,0.01566231828673259,2017-11-30
12,601988.SH,600048.SH,1.0,1.0,0.0,0.0,1062463277.7533476,1062463277.7533476,0.0,2017-11-30
13,601390.SH,600048.SH,1.0,1.0,0.0,0.0,-2039201123.5118861,-2039486415.1785529,0.00013990364333227312,2017-11-30
14,600309.SH,600519.SH,1.0,1.0,0.0,0.0,-15694187635.184292,-15695470619.311275,8.174899885271536e-05,2017-11-30
15,603993.SH,601398.SH,1.0,1.0,0.0,0.0,4647659635.158091,4647659635.158091,0.0,2017-11-30
